Title,Year,Genre,Runtime,Gross,imdbRating,imdbRatingVotes,metascoreRating,rottenRating,metacriticRating
Avatar,2009,"Action, Adventure, Fantasy",162.0,2923706026,7.9,1313610,83.0,82,83
Avengers: Endgame,2019,"Action, Adventure, Drama",181.0,2799439100,8.4,1141629,78.0,94,78
Titanic,1997,"Drama, Romance",194.0,2194690964,7.9,1185567,75.0,88,75
Avatar: The Way of Water,2022,"Action, Adventure, Fantasy",192.0,2177913346,7.8,274520,67.0,77,67
Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",138.0,2071310218,7.8,936253,80.0,93,80
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",149.0,2052415039,8.4,1090272,68.0,85,68
Spider-Man: No Way Home,2021,"Action, Adventure, Fantasy",148.0,1921847111,8.2,765632,71.0,93,71
Jurassic World,2015,"Action, Adventure, Sci-Fi",124.0,1671537444,6.9,648088,59.0,71,59
The Lion King,1994,"Animation, Adventure, Drama",88.0,1663075401,8.5,1063065,88.0,93,88
The Avengers,2012,"Action, Sci-Fi",143.0,1520538536,8.0,1397515,69.0,91,69
Furious 7,2015,"Action, Crime, Thriller",137.0,1515341399,7.1,393693,67.0,81,67
Top Gun: Maverick,2022,"Action, Drama",130.0,1488732821,8.3,511025,78.0,96,78
Frozen II,2019,"Animation, Adventure, Comedy",103.0,1453683476,6.8,176430,64.0,77,64
Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",141.0,1405018048,7.3,868690,66.0,76,66
Black Panther,2018,"Action, Adventure, Sci-Fi",134.0,1349926083,7.3,780443,88.0,96,88
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Family, Fantasy",130.0,1342359942,8.1,882427,85.0,96,85
Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",152.0,1334407706,6.9,636644,84.0,91,84
Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi",128.0,1310466296,6.1,320919,51.0,47,51
Frozen,2013,"Animation, Adventure, Comedy",102.0,1284540518,7.4,630750,75.0,90,75
Beauty and the Beast,1991,"Animation, Family, Fantasy",84.0,1266115964,8.0,458593,95.0,94,95
Incredibles 2,2018,"Animation, Action, Adventure",118.0,1243225667,7.6,301655,80.0,93,80
The Fate of the Furious,2017,"Action, Crime, Thriller",136.0,1236005118,6.6,235460,56.0,67,56
Iron Man 3,2013,"Action, Adventure, Sci-Fi",130.0,1215577205,7.1,856150,62.0,79,62
Minions,2015,"Animation, Adventure, Comedy",91.0,1159444662,6.4,242658,56.0,55,56
Captain America: Civil War,2016,"Action, Sci-Fi",147.0,1155046416,7.8,794549,75.0,90,75
Aquaman,2018,"Action, Adventure, Fantasy",143.0,1148528393,6.8,479976,55.0,65,55
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",201.0,1146457748,9.0,1855485,94.0,93,94
Spider-Man: Far from Home,2019,"Action, Adventure, Sci-Fi",129.0,1131927996,7.4,499648,69.0,90,69
Captain Marvel,2019,"Action, Adventure, Sci-Fi",123.0,1131416446,6.8,566012,64.0,79,64
Transformers: Dark of the Moon,2011,"Action, Adventure, Sci-Fi",154.0,1123794079,6.2,413439,42.0,35,42
Jurassic Park,1993,"Action, Adventure, Sci-Fi",127.0,1109802321,8.2,996000,68.0,91,68
Skyfall,2012,"Action, Adventure, Thriller",143.0,1108569499,7.8,702698,81.0,92,81
Transformers: Age of Extinction,2014,"Action, Adventure, Sci-Fi",165.0,1104054072,5.6,317525,32.0,17,32
The Dark Knight Rises,2012,"Action, Drama",164.0,1081169825,8.4,1710547,78.0,87,78
Star Wars: Episode IX - The Rise of Skywalker,2019,"Action, Adventure, Fantasy",141.0,1077022372,6.5,455762,53.0,52,53
Joker,2019,"Crime, Drama, Thriller",122.0,1074458282,8.4,1296845,59.0,68,59
Toy Story 4,2019,"Animation, Adventure, Comedy",100.0,1073841394,7.7,254870,84.0,97,84
Toy Story 3,2010,"Animation, Adventure, Comedy",103.0,1067316101,8.3,841546,92.0,98,92
Pirates of the Caribbean: Dead Man's Chest,2006,"Action, Adventure, Fantasy",151.0,1066179747,7.3,724604,53.0,53,53
Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",133.0,1058682142,7.8,645631,65.0,84,65
Aladdin,1992,"Animation, Adventure, Comedy",90.0,1054304000,8.0,426051,86.0,95,86
Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy",136.0,1046721266,6.6,533388,45.0,33,45
Despicable Me 3,2017,"Animation, Adventure, Comedy",89.0,1034800131,6.2,138633,49.0,59,49
Finding Dory,2016,"Animation, Adventure, Comedy",97.0,1029266989,7.3,280757,77.0,94,77
Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",136.0,1027082707,6.5,811622,51.0,51,51
Zootopia,2016,"Animation, Adventure, Comedy",108.0,1025521689,8.0,504900,78.0,98,78
